Date,Previous 14 EMA,Previous 50 EMA,Target Exposure,Shares Traded,Shares Held,Cash,Portfolio Value
2022-08-22,397.58582135090523,385.2071441823719,0.9999999999999999,1.4210854715202004e-14,70.97274786337042,1.2305837120291508e-12,27808.711529123186
2022-08-23,396.8173635301595,385.46656549660486,0.9999999999999999,0.0,70.97274786337042,1.2305837120291508e-12,27741.43816643287
2022-08-24,396.0249832886383,385.6786418190419,0.9999999999999999,-1.4210854715202004e-14,70.9727478633704,6.782011654726245e-12,27830.245069749948
2022-08-25,395.5050913110907,385.9314712950415,0.9999999999999999,0.0,70.9727478633704,6.782011654726245e-12,28223.137968825864
2022-08-26,395.79262861544527,386.39147716950066,0.9999999999999999,1.4210854715202004e-14,70.97274786337042,1.1325163204185435e-12,27267.812900295816
2022-08-29,394.24710105005255,386.30558284422614,0.9999999999999999,-1.4210854715202004e-14,70.9727478633704,6.550450570283116e-12,27087.51768918612
2022-08-30,392.56893126160804,386.12343558118664,0.9999999999999999,1.4210854715202004e-14,70.97274786337042,1.1102905868791259e-12,26790.150366030794
2022-08-31,390.5558667288103,385.78412231390973,0.9999999999999999,-1.4210854715202004e-14,70.9727478633704,6.4976442248289325e-12,26586.298648397595
2022-09-01,388.42824367798977,385.3454780603312,0.9999999999999999,1.4210854715202004e-14,70.97274786337042,1.2051246564485093e-12,26669.721083599794
2022-09-02,386.7410257058203,384.97013024960125,0.9999999999999999,-1.4210854715202004e-14,70.9727478633704,6.597193861051192e-12,26388.509330705485
2022-09-06,384.7504701624922,384.45411961749375,0.9999999999999999,1.4210854715202004e-14,70.97274786337042,1.3014398256188164e-12,26288.944320740542
2022-09-07,382.8382736850974,383.90333047884815,0.8999999999999999,-7.097274786337053,63.87547307703336,2626.673588741304,26711.76983829344
2022-09-08,382.06827632135526,383.6350937328945,0.7999999999999999,-7.168501451906337,56.706971625127025,5313.4122744954075,26835.29146811579
2022-09-09,381.72956262303916,383.4740282368588,0.7,-7.2694770322010385,49.43749459292599,8088.643714515082,27143.036659567413
2022-09-12,382.2221435636652,383.55049456787356,0.6,-7.250335987697838,42.18715860522815,10898.079305823328,27332.776498661002
2022-09-13,383.20137045048904,383.7864102795195,0.5,-6.787973017964191,35.39918558726396,13483.634465234496,26674.329454912724
2022-09-14,381.7914644164655,383.3487892958251,0.4,-6.815648230920331,28.583537356343626,16032.180818333543,26723.82383164271
2022-09-15,380.75913325598884,382.9840909200238,0.30000000000000004,-7.096458375019484,21.487078981324142,18675.571785393866,26621.543166148564
2022-09-16,379.2982231057112,382.4671582223329,0.20000000000000004,-6.974092106158052,14.51298687516609,21225.50573936547,26551.497323800737
2022-09-19,377.6559372384914,381.85986100191053,0.10000000000000003,-7.2279423208559965,7.285044554310094,23855.320865327703,26549.526785156846
2022-09-20,376.61207431763,381.3879827403467,2.7755575615628914e-17,-7.285044554310092,2.0087732626582075e-15,26525.32712869925,26525.32712869925
